schema_version,creative_id,factor_name,factor_level
1,crv_20260718_dia001en,hook,two-time-zones
1,crv_20260718_dia001en,identity,sita-sharma
1,crv_20260718_dia001en,proof,product-motion-qr
1,crv_20260718_dia001en,visual_language,swift-faithful-html
1,crv_20260718_dia001en02,hook,two-time-zones
1,crv_20260718_dia001en02,identity,sita-sharma
1,crv_20260718_dia001en02,proof,real-swift-screenshot-composition
1,crv_20260718_dia001en02,visual_language,veo-plus-swift-hard-cut
1,crv_20260718_dia001en02,qr_privacy,full-cover
1,crv_20260718_dia001en03,hook,full-veo-two-time-zones
1,crv_20260718_dia001en03,identity,sita-sharma
1,crv_20260718_dia001en03,proof,continuous-native-qr-handoff
1,crv_20260718_dia001en03,visual_language,full-veo-then-native-demo
1,crv_20260718_dia001en03,duration,long-demo-24s
1,crv_20260718_dia001en03,text,minimal-contextual
1,crv_20260718_dia001en03,qr_privacy,full-cover-lock-only
1,crv_20260718_cou001ne,hook,that-is-so-us
1,crv_20260718_cou001ne,identity,fictional-adult-couple
1,crv_20260718_cou001ne,proof,veo-voice-review-no-app-proof
1,crv_20260718_cou001ne,visual_language,full-veo-nepali-voice
1,crv_20260718_cou001ne,voice,karki-nepali-casual
1,crv_20260718_cou001ne,text,none-in-review
1,crv_20260718_cou001ne02,hook,thyakkai-yastai-chhau
1,crv_20260718_cou001ne02,identity,fictional-adult-couple
1,crv_20260718_cou001ne02,proof,voice-plus-store-endcard-no-app-proof
1,crv_20260718_cou001ne02,visual_language,full-veo-then-store-endcard
1,crv_20260718_cou001ne02,voice,karki-nepali-casual-trimmed
1,crv_20260718_cou001ne02,text,store-availability-endcard
1,crv_20260718_cou001ne02,store_cta,coming-soon-not-download
1,crv_20260718_cou001ne02,duration,10.5s
1,crv_20260718_cou001ne03,hook,thyakkai-yastai-chhau
1,crv_20260718_cou001ne03,identity,fictional-adult-couple
1,crv_20260718_cou001ne03,proof,voice-plus-store-endcard-no-app-proof
1,crv_20260718_cou001ne03,visual_language,identical-to-revision-2
1,crv_20260718_cou001ne03,voice,karki-nepali-plus-2db
1,crv_20260718_cou001ne03,ambience,laughter-minus-8.5db
1,crv_20260718_cou001ne03,store_cta,coming-soon-not-download
1,crv_20260718_cou001ne03,duration,10.5s
1,crv_20260718_cou001ne04,hook,thyakkai-yastai-chhau
1,crv_20260718_cou001ne04,identity,fictional-adult-couple
1,crv_20260718_cou001ne04,proof,spoken-and-visible-brand-no-app-proof
1,crv_20260718_cou001ne04,visual_language,identical-to-revision-3
1,crv_20260718_cou001ne04,voice,karki-nepali-plus-phonetic-brand-tag
1,crv_20260718_cou001ne04,ambience,laughter-minus-8.5db
1,crv_20260718_cou001ne04,brand,spoken-jyotish-baje-scribe-verified
1,crv_20260718_cou001ne04,store_cta,coming-soon-not-download
1,crv_20260718_cou001ne04,duration,10.5s
